Datetime,OFFENSE INVOLVING CHILDREN,NARCOTICS,THEFT,BATTERY,CRIMINAL DAMAGE,SEX OFFENSE,CRIM SEXUAL ASSAULT,OTHER OFFENSE,ASSAULT,DECEPTIVE PRACTICE,BURGLARY,MOTOR VEHICLE THEFT,WEAPONS VIOLATION,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,PUBLIC PEACE VIOLATION,PROSTITUTION,INTERFERENCE WITH PUBLIC OFFICER,ARSON,CRIMINAL SEXUAL ASSAULT,GAMBLING,STALKING,HOMICIDE,KIDNAPPING,INTIMIDATION,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,NON-CRIMINAL,HUMAN TRAFFICKING
2010-03-04,9,149,161,180,110,3,5,60,69,39,49,39,11,33,36,2.0,17,9,1,1,0.0,2.0,0,0.0,1.0,2.0,0.0,,,,
2010-03-05,9,162,229,191,114,0,4,66,88,49,57,47,11,32,31,2.0,14,1,1,1,0.0,1.0,1,0.0,0.0,1.0,0.0,,,,
2010-03-06,7,153,178,209,123,0,4,55,45,30,48,29,11,30,30,2.0,9,12,2,2,1.0,1.0,1,0.0,0.0,1.0,0.0,,,,
2010-03-07,9,111,155,191,103,4,4,71,44,19,36,29,10,16,24,2.0,4,4,3,2,0.0,0.0,0,2.0,2.0,0.0,0.0,,,,
2010-03-08,11,130,220,208,124,2,3,67,63,39,75,45,11,41,31,0.0,12,5,1,1,0.0,2.0,0,1.0,0.0,1.0,1.0,,,,
2010-03-09,8,137,202,194,115,3,1,84,92,38,81,48,8,34,37,2.0,11,7,1,3,0.0,2.0,1,0.0,1.0,0.0,0.0,1.0,,,
2010-03-10,8,158,199,198,127,3,3,63,80,53,54,43,16,34,38,4.0,19,17,3,0,0.0,3.0,0,0.0,5.0,0.0,0.0,0.0,,,
2010-03-11,7,180,174,210,133,2,3,75,72,30,72,44,12,24,35,5.0,13,12,1,0,0.0,1.0,1,0.0,3.0,1.0,0.0,0.0,,,
2010-03-12,7,160,238,233,122,2,3,57,72,41,79,42,9,36,30,4.0,12,3,3,0,0.0,1.0,0,2.0,0.0,1.0,0.0,0.0,,,
2010-03-13,5,131,198,223,104,2,3,61,45,27,63,42,11,30,19,3.0,6,7,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,
2010-03-14,8,75,141,212,141,4,4,48,60,26,56,42,5,31,22,3.0,3,8,4,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,,,
2010-03-15,5,115,227,172,136,4,11,72,63,48,78,32,10,39,33,0.0,8,3,5,3,0.0,2.0,1,1.0,1.0,1.0,1.0,0.0,,,
2010-03-16,7,158,204,202,102,3,5,61,84,33,72,44,20,27,40,2.0,23,18,4,1,0.0,3.0,1,0.0,0.0,1.0,0.0,0.0,,,
2010-03-17,8,165,172,200,110,4,6,63,58,35,76,49,11,38,27,6.0,16,13,4,4,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,,,
2010-03-18,10,143,203,241,161,4,3,52,74,34,71,45,16,40,20,4.0,19,8,3,0,1.0,1.0,0,1.0,2.0,1.0,0.0,0.0,,,
2010-03-19,11,158,230,210,123,2,6,76,61,46,75,45,14,42,29,4.0,14,8,2,2,0.0,1.0,1,1.0,3.0,0.0,0.0,0.0,,,
2010-03-20,8,100,185,175,121,1,4,54,32,23,53,39,9,33,23,0.0,8,3,1,2,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,,,
2010-03-21,6,114,150,170,126,3,5,75,44,19,54,39,5,47,26,0.0,7,6,0,1,0.0,2.0,0,2.0,1.0,0.0,0.0,0.0,,,
2010-03-22,6,101,197,192,88,2,6,53,58,32,84,39,7,37,25,1.0,23,9,1,2,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,,,
2010-03-23,6,157,193,202,144,3,6,68,71,30,70,50,13,40,29,0.0,14,4,4,4,1.0,3.0,2,0.0,3.0,1.0,0.0,0.0,,,
2010-03-24,6,165,201,188,134,6,4,74,66,39,73,50,18,39,38,3.0,17,14,3,1,0.0,3.0,0,2.0,1.0,0.0,0.0,0.0,,,
2010-03-25,8,130,212,185,122,5,1,85,62,44,67,54,16,27,31,2.0,11,9,0,1,0.0,1.0,0,3.0,2.0,0.0,0.0,0.0,,,
2010-03-26,3,162,219,202,131,4,2,64,46,36,77,40,14,22,31,3.0,6,1,0,2,1.0,0.0,0,1.0,1.0,0.0,0.0,0.0,,,
2010-03-27,6,153,205,190,155,1,4,64,59,26,55,50,13,40,28,5.0,8,20,2,1,0.0,3.0,0,4.0,2.0,0.0,0.0,0.0,,,
2010-03-28,8,91,197,206,126,2,4,55,45,38,50,37,4,35,36,1.0,4,7,1,5,0.0,0.0,0,2.0,0.0,2.0,0.0,0.0,,,
2010-03-29,7,120,208,148,130,4,4,67,54,26,55,55,7,28,39,0.0,8,5,3,0,0.0,1.0,0,2.0,1.0,2.0,0.0,0.0,,,
2010-03-30,4,162,209,172,115,1,4,64,54,28,73,58,16,35,22,1.0,8,11,3,1,0.0,7.0,0,1.0,0.0,3.0,0.0,0.0,,,
